"team_a","team_b","gender","series","team_a_venue","toss_winner","toss_decision","first_innings_total","day_night","rain","duckworth_lewis","win_toss_win_game"
"Australia","New Zealand","M","medium","home","New Zealand","bat",232,"1","0","0","lost"
"New Zealand","Sri Lanka","M","high","away","New Zealand","field",272,"0","0","0","won"
"New Zealand","West Indies","F","high","away","West Indies","field",253,"0","0","0","lost"
"New Zealand","Sri Lanka","M","low","home","Sri Lanka","bat",273,"0","0","0","lost"
"Sri Lanka","Pakistan","M","high","home","Pakistan","bat",200,"1","0","0","lost"
"Pakistan","West Indies","F","low","away","West Indies","field",93,"0","0","0","lost"
"Australia","South Africa","M","low","away","South Africa","bat",123,"0","0","0","lost"
"England","India","F","low","home","England","bat",128,"0","0","0","won"
"Pakistan","Sri Lanka","M","medium","away","Pakistan","field",180,"0","0","0","won"
"New Zealand","Pakistan","M","medium","away","New Zealand","bat",74,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","home","Pakistan","field",218,"0","0","0","won"
"New Zealand","Australia","F","medium","home","Australia","bat",171,"0","0","0","lost"
"England","West Indies","M","medium","away","England","field",215,"0","0","0","won"
"West Indies","Pakistan","M","low","home","West Indies","field",176,"0","0","0","won"
"England","Pakistan","M","low","home","Pakistan","bat",225,"0","0","0","lost"
"Sri Lanka","Zimbabwe","M","low","away","Sri Lanka","field",104,"0","0","0","won"
"England","Pakistan","M","medium","away","England","field",217,"0","0","0","won"
"England","West Indies","M","high","away","West Indies","bat",197,"1","0","0","lost"
"Australia","West Indies","M","medium","home","West Indies","field",338,"1","0","0","lost"
"England","India","F","low","home","India","bat",124,"0","0","0","lost"
"England","Australia","M","medium","home","Australia","bat",252,"0","0","0","lost"
"England","India","M","medium","away","England","field",235,"1","0","0","won"
"Australia","England","F","medium","home","England","bat",268,"0","0","0","lost"
"Australia","West Indies","M","medium","home","West Indies","bat",172,"1","0","0","lost"
"Bangladesh","Pakistan","M","low","home","Bangladesh","field",293,"1","0","0","won"
"South Africa","West Indies","M","low","home","West Indies","bat",252,"0","0","0","lost"
"New Zealand","Sri Lanka","F","high","home","New Zealand","field",126,"0","0","0","won"
"West Indies","England","F","low","home","West Indies","bat",126,"1","0","0","won"
"South Africa","New Zealand","M","high","home","South Africa","bat",306,"0","1","1","won"
"Australia","Pakistan","M","medium","home","Pakistan","bat",177,"0","0","0","lost"
"India","Sri Lanka","M","low","home","Sri Lanka","field",246,"0","0","0","lost"
"England","Pakistan","M","high","home","Pakistan","bat",193,"0","0","0","lost"
"England","Australia","M","low","home","Australia","field",236,"0","0","0","lost"
"India","West Indies","M","low","away","India","bat",309,"1","1","1","won"
"Australia","Zimbabwe","M","medium","home","Australia","bat",302,"0","0","0","won"
"Pakistan","Zimbabwe","M","low","home","Zimbabwe","field",347,"1","0","0","lost"
"Bangladesh","South Africa","M","low","home","Bangladesh","bat",173,"0","0","0","won"
"England","West Indies","M","low","home","England","field",179,"0","0","0","won"
"Zimbabwe","Pakistan","M","low","home","Pakistan","field",222,"0","0","0","lost"
"South Africa","Bangladesh","F","low","home","Bangladesh","field",237,"0","0","0","lost"
"New Zealand","South Africa","M","high","away","New Zealand","bat",177,"0","0","0","won"
"Pakistan","West Indies","M","medium","away","West Indies","field",43,"0","0","0","lost"
"England","Australia","F","high","home","England","field",241,"0","0","0","won"
"New Zealand","Australia","F","medium","home","New Zealand","field",258,"1","0","0","won"
"England","West Indies","M","high","away","West Indies","field",269,"0","0","0","lost"
"India","Sri Lanka","M","high","away","India","field",294,"1","0","0","won"
"Pakistan","England","M","low","home","Pakistan","field",184,"0","0","0","won"
"India","Pakistan","M","medium","away","Pakistan","bat",272,"1","0","0","lost"
"England","India","F","high","away","India","bat",155,"0","0","0","lost"
"South Africa","Sri Lanka","F","high","away","Sri Lanka","bat",75,"0","0","0","lost"
"Australia","New Zealand","M","medium","home","Australia","bat",202,"1","0","0","won"
"England","Australia","F","low","home","England","field",238,"0","0","0","won"
"Pakistan","Sri Lanka","M","medium","away","Sri Lanka","bat",239,"1","0","0","lost"
"India","Sri Lanka","M","low","home","Sri Lanka","bat",298,"0","0","0","lost"
"Australia","Pakistan","M","medium","home","Australia","bat",260,"1","0","0","won"
"India","South Africa","M","medium","away","India","bat",295,"0","0","0","won"
"India","Sri Lanka","F","high","home","Sri Lanka","bat",282,"1","0","0","lost"
"Pakistan","Sri Lanka","M","low","home","Pakistan","field",290,"1","0","0","won"
"Australia","India","M","medium","away","Australia","bat",284,"1","0","0","won"
"Sri Lanka","West Indies","M","medium","away","Sri Lanka","bat",102,"1","0","0","won"
"Sri Lanka","India","M","low","home","India","field",171,"0","0","0","lost"
"Australia","New Zealand","F","high","away","Australia","bat",174,"0","0","0","won"
"England","Pakistan","M","high","away","England","bat",246,"1","0","0","won"
"Australia","Bangladesh","M","medium","away","Bangladesh","bat",134,"0","0","0","lost"
"England","New Zealand","F","low","home","New Zealand","bat",136,"0","0","0","lost"
"Pakistan","West Indies","M","low","home","West Indies","field",218,"0","0","0","lost"
"Zimbabwe","India","M","high","home","Zimbabwe","field",255,"0","0","0","won"
"India","West Indies","M","low","home","India","field",300,"0","1","1","won"
"Australia","New Zealand","F","medium","home","Australia","bat",180,"0","0","0","won"
"New Zealand","Pakistan","M","low","home","Pakistan","field",187,"0","0","0","lost"
"Australia","England","M","low","home","Australia","bat",235,"1","0","0","won"
"Sri Lanka","Bangladesh","M","low","home","Bangladesh","bat",226,"0","0","0","lost"
"Australia","New Zealand","F","high","away","New Zealand","field",137,"0","0","0","lost"
"South Africa","Australia","M","low","home","South Africa","bat",158,"1","0","0","won"
"Australia","India","M","low","away","Australia","bat",213,"1","0","0","won"
"India","Pakistan","M","low","away","India","bat",330,"1","0","0","won"
"India","Pakistan","M","medium","home","India","field",166,"0","0","0","won"
"Australia","New Zealand","M","medium","home","Australia","field",199,"1","0","0","won"
"England","Pakistan","M","high","away","Pakistan","bat",249,"1","0","0","lost"
"Pakistan","New Zealand","M","low","home","New Zealand","field",157,"0","0","0","lost"
"West Indies","Sri Lanka","F","low","home","West Indies","bat",77,"0","0","0","won"
"India","West Indies","M","low","away","West Indies","field",254,"0","0","0","lost"
"Australia","Bangladesh","M","medium","away","Australia","field",250,"0","0","0","won"
"New Zealand","India","M","low","home","India","bat",149,"1","0","0","lost"
"Bangladesh","New Zealand","M","high","away","New Zealand","field",116,"0","0","0","lost"
"Sri Lanka","India","M","medium","home","Sri Lanka","field",227,"0","0","0","won"
"India","Sri Lanka","M","low","home","India","field",172,"0","0","0","won"
"England","Australia","M","low","home","England","field",236,"0","0","0","won"
"Australia","England","F","medium","home","Australia","bat",266,"1","0","0","won"
"Sri Lanka","England","F","low","home","England","bat",224,"0","0","0","lost"
"Australia","England","M","medium","home","Australia","bat",272,"1","0","0","won"
"Zimbabwe","Bangladesh","M","low","home","Bangladesh","bat",183,"0","0","0","lost"
"Australia","England","M","medium","away","Australia","bat",242,"0","0","0","won"
"Australia","South Africa","M","medium","home","South Africa","bat",241,"1","0","0","lost"
"Australia","Pakistan","M","medium","home","Pakistan","bat",223,"0","0","0","lost"
"Zimbabwe","India","M","low","home","India","field",235,"0","0","0","lost"
"Zimbabwe","Sri Lanka","M","low","home","Zimbabwe","bat",290,"0","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","field",160,"1","0","0","lost"
"England","Sri Lanka","M","high","away","England","field",235,"0","0","0","won"
"Pakistan","West Indies","M","medium","away","West Indies","field",258,"0","0","0","lost"
"Australia","New Zealand","F","high","home","New Zealand","field",167,"0","0","0","lost"
"New Zealand","England","M","low","home","New Zealand","bat",178,"0","0","0","won"
"England","Australia","F","low","home","England","field",204,"0","0","0","won"
"Bangladesh","Zimbabwe","M","low","home","Bangladesh","field",160,"0","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","field",242,"0","0","0","lost"
"England","South Africa","M","high","away","South Africa","field",252,"1","0","0","lost"
"Australia","New Zealand","M","medium","home","New Zealand","bat",260,"1","0","0","lost"
"Australia","West Indies","F","high","home","Australia","field",240,"0","0","0","won"
"India","West Indies","F","low","home","West Indies","field",216,"0","0","0","lost"
"Australia","South Africa","M","medium","home","South Africa","bat",170,"1","0","0","lost"
"Pakistan","Bangladesh","F","low","home","Pakistan","bat",214,"0","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","bat",220,"1","0","0","lost"
"West Indies","England","M","low","home","West Indies","field",166,"0","0","0","won"
"Australia","New Zealand","M","medium","home","New Zealand","bat",235,"1","0","0","lost"
"Bangladesh","Australia","M","low","home","Australia","bat",250,"0","0","0","lost"
"Sri Lanka","West Indies","F","high","away","West Indies","bat",235,"0","0","0","lost"
"West Indies","New Zealand","F","low","home","West Indies","bat",148,"0","0","0","won"
"England","West Indies","M","low","home","West Indies","field",202,"0","0","0","lost"
"Australia","West Indies","M","medium","home","West Indies","bat",235,"0","0","0","lost"
"South Africa","Sri Lanka","M","low","away","South Africa","bat",169,"0","0","0","won"
"Pakistan","Sri Lanka","M","low","away","Sri Lanka","bat",253,"0","0","0","lost"
"Sri Lanka","New Zealand","M","medium","home","New Zealand","bat",236,"0","0","0","lost"
"West Indies","England","M","low","home","England","field",265,"0","0","0","lost"
"West Indies","South Africa","F","low","home","West Indies","field",120,"0","0","0","won"
"India","New Zealand","M","low","home","India","bat",261,"0","0","0","won"
"England","Zimbabwe","M","medium","away","Zimbabwe","bat",205,"1","0","0","lost"
"England","New Zealand","F","high","away","England","field",157,"0","0","0","won"
"India","New Zealand","M","low","away","New Zealand","bat",278,"0","0","0","lost"
"India","Pakistan","M","medium","away","India","field",271,"0","0","0","won"
"England","Australia","F","high","home","Australia","bat",238,"0","0","0","lost"
"West Indies","India","M","low","home","India","field",186,"0","0","0","lost"
"New Zealand","Pakistan","M","medium","away","Pakistan","bat",252,"0","0","0","lost"
"Australia","South Africa","M","low","away","Australia","bat",238,"0","0","0","won"
"India","West Indies","M","low","home","India","field",201,"0","0","0","won"
"Sri Lanka","Zimbabwe","M","medium","home","Sri Lanka","field",227,"0","0","0","won"
"India","West Indies","M","low","away","India","bat",242,"1","0","0","won"
"Sri Lanka","Pakistan","F","low","home","Pakistan","field",217,"0","0","0","lost"
"New Zealand","Australia","F","medium","home","Australia","bat",211,"0","0","0","lost"
"New Zealand","Sri Lanka","M","low","away","Sri Lanka","field",248,"1","0","0","lost"
"Sri Lanka","West Indies","M","high","away","West Indies","bat",80,"1","0","0","lost"
"India","Pakistan","F","medium","away","India","bat",275,"0","0","0","won"
"West Indies","Australia","M","low","home","Australia","bat",231,"0","0","0","lost"
"England","Pakistan","M","low","home","England","bat",244,"0","0","0","won"
"India","Zimbabwe","M","low","home","Zimbabwe","bat",253,"0","0","0","lost"
"England","India","M","medium","home","England","bat",316,"0","0","0","won"
"New Zealand","England","M","low","home","New Zealand","field",242,"1","1","1","won"
"Pakistan","Sri Lanka","M","low","home","Sri Lanka","field",241,"0","0","0","lost"
"New Zealand","England","F","low","home","England","field",168,"0","0","0","lost"
"West Indies","England","M","low","home","England","bat",214,"0","0","0","lost"
"New Zealand","Sri Lanka","M","low","home","Sri Lanka","field",183,"0","0","0","lost"
"India","England","M","low","home","England","field",214,"0","0","0","lost"
"Bangladesh","Sri Lanka","M","high","away","Bangladesh","field",302,"1","0","0","won"
"Australia","England","M","medium","home","England","bat",207,"1","0","0","lost"
"South Africa","England","M","low","home","South Africa","bat",262,"1","0","0","won"
"England","New Zealand","F","low","home","New Zealand","bat",72,"0","0","0","lost"
"West Indies","England","M","low","home","England","field",261,"0","0","0","lost"
"New Zealand","England","M","low","home","New Zealand","bat",211,"0","0","0","won"
"West Indies","England","M","low","home","England","field",249,"0","0","0","lost"
"India","New Zealand","F","high","home","India","bat",130,"0","0","0","won"
"New Zealand","Sri Lanka","M","low","home","New Zealand","field",141,"0","0","0","won"
"India","West Indies","M","low","home","West Indies","bat",203,"0","0","0","lost"
"Zimbabwe","Australia","M","high","home","Zimbabwe","bat",246,"0","0","0","won"
"India","Zimbabwe","M","high","away","India","field",205,"1","0","0","won"
"Bangladesh","Zimbabwe","M","low","home","Bangladesh","bat",257,"1","0","0","won"
"Australia","India","M","medium","home","Australia","field",208,"0","0","0","won"
"West Indies","Australia","M","low","home","Australia","bat",283,"0","0","0","lost"
"India","England","M","low","home","England","field",203,"0","0","0","lost"
"Australia","New Zealand","M","medium","home","New Zealand","bat",199,"1","0","0","lost"
"South Africa","West Indies","M","medium","home","West Indies","field",140,"0","0","0","lost"
"England","Australia","M","low","home","Australia","field",242,"0","0","0","lost"
"Pakistan","Sri Lanka","M","medium","away","Pakistan","field",253,"0","0","0","won"
"New Zealand","Sri Lanka","M","low","away","Sri Lanka","field",188,"1","0","0","lost"
"Pakistan","New Zealand","M","low","home","New Zealand","field",191,"0","0","0","lost"
"India","England","F","low","home","India","bat",199,"0","0","0","won"
"England","Australia","M","medium","home","England","bat",268,"0","0","0","won"
"Pakistan","West Indies","M","high","away","Pakistan","bat",255,"1","0","0","won"
"India","Sri Lanka","M","low","home","India","field",196,"0","0","0","won"
"New Zealand","Australia","F","high","home","Australia","bat",147,"0","0","0","lost"
"Australia","South Africa","M","medium","home","Australia","bat",228,"1","0","0","won"
"England","Australia","M","low","home","England","bat",219,"0","0","0","won"
"India","Pakistan","M","low","away","India","field",246,"0","0","0","won"
"Zimbabwe","Bangladesh","M","low","home","Zimbabwe","bat",242,"0","0","0","won"
"New Zealand","Pakistan","M","low","away","New Zealand","field",203,"0","0","0","won"
"Australia","India","M","medium","away","Australia","field",201,"0","0","0","won"
"Sri Lanka","Zimbabwe","M","high","away","Sri Lanka","field",312,"0","0","0","won"
"Australia","Zimbabwe","M","high","away","Zimbabwe","bat",154,"0","0","0","lost"
"South Africa","Zimbabwe","M","medium","home","Zimbabwe","bat",226,"1","0","0","lost"
"New Zealand","Australia","M","low","home","New Zealand","field",239,"0","0","0","won"
"England","Australia","F","low","home","Australia","bat",225,"0","0","0","lost"
"Pakistan","Australia","M","low","home","Pakistan","field",229,"0","0","0","won"
"New Zealand","Australia","M","low","home","Australia","field",243,"1","0","0","lost"
"West Indies","Australia","M","low","home","Australia","bat",210,"0","0","0","lost"
"Australia","West Indies","M","medium","home","West Indies","bat",236,"1","0","0","lost"
"Sri Lanka","Zimbabwe","M","low","home","Sri Lanka","field",38,"0","0","0","won"
"South Africa","Pakistan","M","medium","home","Pakistan","bat",145,"0","0","0","lost"
"South Africa","England","F","low","home","England","field",181,"0","0","0","lost"
"South Africa","England","M","low","home","South Africa","bat",211,"1","0","0","won"
"Pakistan","Sri Lanka","M","high","away","Sri Lanka","bat",212,"0","0","0","lost"
"West Indies","India","F","low","home","West Indies","field",179,"0","0","0","won"
"New Zealand","Sri Lanka","M","low","home","Sri Lanka","field",242,"0","0","0","lost"
"New Zealand","Pakistan","M","low","away","New Zealand","bat",266,"1","0","0","won"
"India","England","M","low","home","India","bat",294,"0","0","0","won"
"England","South Africa","M","high","away","South Africa","bat",230,"0","0","0","lost"
"Pakistan","Sri Lanka","M","low","home","Pakistan","field",257,"0","0","0","won"
"India","West Indies","M","medium","away","India","field",290,"0","0","0","won"
"Pakistan","England","M","low","home","Pakistan","bat",210,"1","0","0","won"
"England","West Indies","M","low","home","England","field",221,"0","0","0","won"
"India","Pakistan","M","low","away","India","field",170,"0","0","0","won"
"Zimbabwe","New Zealand","M","low","home","New Zealand","field",183,"0","0","0","lost"
"West Indies","New Zealand","M","high","home","New Zealand","field",177,"0","0","0","lost"
"New Zealand","West Indies","M","low","home","West Indies","field",146,"0","0","0","lost"
"England","India","F","low","home","England","field",192,"0","0","0","won"
"Australia","New Zealand","M","high","away","New Zealand","bat",286,"1","0","0","lost"
"Pakistan","South Africa","M","low","away","South Africa","bat",241,"1","0","0","lost"
"New Zealand","Pakistan","M","low","home","New Zealand","field",146,"0","0","0","won"
"Sri Lanka","Australia","M","low","home","Sri Lanka","field",216,"0","0","0","won"
"West Indies","England","F","low","home","England","bat",232,"0","0","0","lost"
"Pakistan","England","M","low","home","England","field",158,"0","0","0","lost"
"India","West Indies","M","low","home","India","bat",240,"0","0","0","won"
"South Africa","Zimbabwe","M","low","home","Zimbabwe","bat",226,"1","0","0","lost"
"India","West Indies","M","low","away","West Indies","bat",190,"0","0","0","lost"
"Australia","New Zealand","F","medium","home","New Zealand","bat",163,"1","0","0","lost"
"Zimbabwe","Bangladesh","M","low","home","Zimbabwe","field",238,"0","0","0","won"
"England","Pakistan","M","low","home","England","bat",246,"0","0","0","won"
"Australia","England","M","medium","home","Australia","bat",239,"1","0","0","won"
"India","West Indies","M","low","home","India","field",257,"0","0","0","won"
"Pakistan","Bangladesh","M","low","home","Pakistan","bat",308,"1","0","0","won"
"Zimbabwe","Australia","M","low","home","Australia","field",196,"0","0","0","lost"
"India","England","M","low","home","India","field",265,"0","0","0","won"
"India","Zimbabwe","M","high","away","India","field",252,"0","0","0","won"
"Pakistan","West Indies","M","high","away","Pakistan","field",293,"0","0","0","won"
"New Zealand","Zimbabwe","M","low","home","New Zealand","field",138,"0","0","0","won"
"Australia","Sri Lanka","M","medium","home","Sri Lanka","bat",221,"1","0","0","lost"
"Pakistan","Bangladesh","M","low","home","Pakistan","bat",322,"1","1","1","won"
"New Zealand","Pakistan","M","low","home","New Zealand","field",138,"0","0","0","won"
"Bangladesh","Pakistan","F","low","home","Pakistan","field",152,"0","0","0","lost"
"Pakistan","West Indies","M","high","away","West Indies","field",220,"0","0","0","lost"
"England","New Zealand","M","low","home","New Zealand","bat",217,"0","0","0","lost"
"India","Australia","M","medium","home","Australia","bat",247,"0","0","0","lost"
"West Indies","Pakistan","F","low","home","West Indies","bat",154,"0","1","1","won"
"India","Pakistan","M","low","away","India","field",189,"0","0","0","won"
"England","Zimbabwe","M","medium","home","England","field",92,"0","0","0","won"
"Bangladesh","South Africa","F","low","home","Bangladesh","bat",179,"0","0","0","won"
"New Zealand","Australia","M","medium","home","New Zealand","field",336,"0","0","0","won"
"West Indies","Sri Lanka","M","low","home","West Indies","field",112,"0","1","1","won"
"India","Pakistan","M","medium","away","India","field",235,"0","0","0","won"
"Pakistan","Sri Lanka","M","medium","away","Pakistan","bat",249,"1","0","0","won"
"New Zealand","South Africa","M","medium","away","South Africa","bat",147,"0","0","0","lost"
"Sri Lanka","India","F","medium","home","India","bat",260,"0","0","0","lost"
"Pakistan","Sri Lanka","M","medium","away","Sri Lanka","field",281,"0","0","0","lost"
"India","South Africa","M","medium","away","South Africa","bat",287,"0","0","0","lost"
"New Zealand","Australia","F","medium","home","New Zealand","bat",183,"0","0","0","won"
"England","New Zealand","M","medium","away","New Zealand","bat",158,"1","0","0","lost"
"England","New Zealand","M","medium","home","England","field",182,"0","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","field",191,"0","0","0","lost"
"New Zealand","Australia","F","high","home","New Zealand","bat",109,"0","0","0","won"
