"team","team.1","gender","season","date","series","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire","umpire.1","reserve_umpire","tv_umpire","match_referee","winner","winner_runs"
"Australia","Pakistan","male","2016/17","2017/01/13","Pakistan in Australia ODI Series","1","Brisbane Cricket Ground, Woolloongabba","Brisbane","Australia","bat","MS Wade","MD Martell","C Shamshuddin","SJ Nogajski","CB Gaffaney","JJ Crowe","Australia","92"
"Australia","Pakistan","male","2016/17","2017/01/15","Pakistan in Australia ODI Series","2","Melbourne Cricket Ground","","Australia","bat","Mohammad Hafeez","CB Gaffaney","P Wilson","SJ Nogajski","C Shamshuddin","JJ Crowe","Pakistan","6"
"Australia","Pakistan","male","2016/17","2017/01/19","Pakistan in Australia ODI Series","3","Western Australia Cricket Association Ground","Perth","Australia","field","SPD Smith","SD Fry","C Shamshuddin","P Wilson","CB Gaffaney","JJ Crowe","Australia","7"
"Australia","Pakistan","male","2016/17","2017/01/22","Pakistan in Australia ODI Series","4","Sydney Cricket Ground","","Australia","bat","DA Warner","CB Gaffaney","MD Martell","P Wilson","C Shamshuddin","JJ Crowe","Australia","86"
"Australia","Pakistan","male","2016/17","2017/01/26","Pakistan in Australia ODI Series","5","Adelaide Oval","","Australia","bat","DA Warner","SD Fry","C Shamshuddin","SJ Nogajski","CB Gaffaney","JJ Crowe","Australia","57"
"Australia","New Zealand","male","2016/17","2016/12/04","Chappell-Hadlee Trophy","1","Sydney Cricket Ground","","Australia","bat","SPD Smith","HDPK Dharmasena","MD Martell","GA Abood","P Wilson","RB Richardson","Australia","68"
"Australia","New Zealand","male","2016/17","2016/12/06","Chappell-Hadlee Trophy","2","Manuka Oval","Canberra","New Zealand","field","DA Warner","HDPK Dharmasena","P Wilson","MD Martell","NJ Llong","RB Richardson","Australia","116"
"Australia","New Zealand","male","2016/17","2016/12/09","Chappell-Hadlee Trophy","3","Melbourne Cricket Ground","","Australia","bat","DA Warner","NJ Llong","MD Martell","P Wilson","HDPK Dharmasena","RB Richardson","Australia","117"
"Scotland","Afghanistan","male","2016","2016/07/04","Afghanistan in Scotland ODI Series","1","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Scotland","field","M Hawthorne","IN Ramage","AJT Dowdalls","DT Jukes","no result","0.1","Noor Ali Zadran","0"
"Scotland","Afghanistan","male","2016","2016/07/06","Afghanistan in Scotland ODI Series","2","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Afghanistan","bat","M Hawthorne","IN Ramage","AJT Dowdalls","DT Jukes","Afghanistan","78","D/L","0.1"
"Scotland","Hong Kong","male","2016","2016/09/08","Hong Kong in Scotland ODI Series","1","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Hong Kong","field","GO Brathwaite","IN Ramage","DA Haggo","DT Jukes","no result","0.1","CD Wallace","0"
"Scotland","Hong Kong","male","2016","2016/09/10","Hong Kong in Scotland ODI Series","2","Grange Cricket Club Ground, Raeburn Place","Edinburgh","Scotland","bat","GO Brathwaite","IN Ramage","DA Haggo","DT Jukes","Scotland","53","0.1","MH Cross"
"Zimbabwe","India","male","2016","2016/06/11","India in Zimbabwe ODI Series","1","Harare Sports Club","","India","field","KL Rahul","IJ Gould","RB Tiffin","I Chabi","TJ Matibiri","RB Richardson","India","9"
"Zimbabwe","India","male","2016","2016/06/13","India in Zimbabwe ODI Series","2","Harare Sports Club","","India","field","YS Chahal","IJ Gould","L Rusere","O Chirombe","RB Tiffin","RB Richardson","India","8"
"Zimbabwe","India","male","2016","2016/06/15","India in Zimbabwe ODI Series","3","Harare Sports Club","","Zimbabwe","bat","KL Rahul","IJ Gould","TJ Matibiri","O Chirombe","L Rusere","RB Richardson","India","10"
"New Zealand","Bangladesh","male","2016/17","2016/12/26","Bangladesh in New Zealand ODI Series","1","Hagley Oval","Christchurch","New Zealand","bat","TWM Latham","WR Knights","C Shamshuddin","CM Brown","PR Reiffel","BC Broad","New Zealand","77"
"New Zealand","Bangladesh","male","2016/17","2016/12/29","Bangladesh in New Zealand ODI Series","2","Saxton Oval","Nelson","Bangladesh","field","NT Broom","CM Brown","PR Reiffel","WR Knights","C Shamshuddin","BC Broad","New Zealand","67"
"New Zealand","Bangladesh","male","2016/17","2016/12/31","Bangladesh in New Zealand ODI Series","3","Saxton Oval","Nelson","Bangladesh","bat","KS Williamson","CM Brown","C Shamshuddin","WR Knights","PR Reiffel","BC Broad","New Zealand","8"
"New Zealand","Australia","male","2016/17","2017/01/30","Chappell-Hadlee Trophy","1","Eden Park","Auckland","Australia","field","MP Stoinis","WR Knights","RSA Palliyaguruge","HDPK Dharmasena","RS Madugalle","New Zealand","6","0.1"
"New Zealand","Australia","male","2016/17","2017/02/05","Chappell-Hadlee Trophy","3","Seddon Park","Hamilton","New Zealand","bat","TA Boult","CM Brown","RSA Palliyaguruge","HDPK Dharmasena","RS Madugalle","New Zealand","24","0.1"
"Hong Kong","Papua New Guinea","male","2016/17","2016/11/04","Papua New Guinea in Hong Kong ODI Series","1","Mission Road Ground, Mong Kok","Hong Kong","Hong Kong","bat","Babar Hayat","Sharfuddoula","Tabarak Dar","Z Nizami","GF Labrooy","Hong Kong","106","0.1"
"Hong Kong","Papua New Guinea","male","2016/17","2016/11/06","Papua New Guinea in Hong Kong ODI Series","2","Mission Road Ground, Mong Kok","Hong Kong","Papua New Guinea","bat","CA Soper","Sharfuddoula","Tabarak Dar","IA Thomson","GF Labrooy","Papua New Guinea","14","0.1"
"Hong Kong","Papua New Guinea","male","2016/17","2016/11/08","Papua New Guinea in Hong Kong ODI Series","3","Mission Road Ground, Mong Kok","Hong Kong","Papua New Guinea","bat","Anshuman Rath","Sharfuddoula","IA Thomson","Z Nizami","GF Labrooy","Hong Kong","7","D/L"
"Bangladesh","England","male","2016/17","2016/10/07","England in Bangladesh ODI Series","1","Shere Bangla National Stadium","Mirpur","England","bat","JT Ball","M Erasmus","Sharfuddoula","Anisur Rahman","Aleem Dar","J Srinath","England","21"
"Bangladesh","England","male","2016/17","2016/10/09","England in Bangladesh ODI Series","2","Shere Bangla National Stadium","Mirpur","England","field","Mashrafe Mortaza","Aleem Dar","Sharfuddoula","Anisur Rahman","M Erasmus","J Srinath","Bangladesh","34"
"Bangladesh","England","male","2016/17","2016/10/12","England in Bangladesh ODI Series","3","Zahur Ahmed Chowdhury Stadium","Chittagong","England","field","AU Rashid","Anisur Rahman","M Erasmus","Masudur Rahman","Aleem Dar","J Srinath","England","4"
"India","New Zealand","male","2016/17","2016/10/16","New Zealand in India ODI Series","1","Himachal Pradesh Cricket Association Stadium","Dharmasala","India","field","HH Pandya","BNJ Oxenford","C Shamshuddin","CK Nandan","AK Chaudhary","RB Richardson","India","6"
"India","New Zealand","male","2016/17","2016/10/20","New Zealand in India ODI Series","2","Feroz Shah Kotla","Delhi","India","field","KS Williamson","AK Chaudhary","BNJ Oxenford","CK Nandan","C Shamshuddin","RB Richardson","New Zealand","6"
"India","New Zealand","male","2016/17","2016/10/23","New Zealand in India ODI Series","3","Punjab Cricket Association Stadium, Mohali","Chandigarh","India","field","V Kohli","BNJ Oxenford","C Shamshuddin","Nitin Menon","AK Chaudhary","RB Richardson","India","7"
"India","New Zealand","male","2016/17","2016/10/26","New Zealand in India ODI Series","4","JSCA International Stadium Complex","Ranchi","New Zealand","bat","MJ Guptill","AK Chaudhary","BNJ Oxenford","Nitin Menon","CK Nandan","RB Richardson","New Zealand","19"
"India","New Zealand","male","2016/17","2016/10/29","New Zealand in India ODI Series","5","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","India","bat","A Mishra","CK Nandan","BNJ Oxenford","Nitin Menon","C Shamshuddin","RB Richardson","India","190"
"India","England","male","2016/17","2017/01/15","England in India ODI Series","1","Maharashtra Cricket Association Stadium","Pune","India","field","KM Jadhav","HDPK Dharmasena","CK Nandan","NN Menon","RSA Palliyaguruge","AJ Pycroft","India","3"
"India","England","male","2016/17","2017/01/19","England in India ODI Series","2","Barabati Stadium","Cuttack","England","field","Yuvraj Singh","AK Chaudhary","RSA Palliyaguruge","Nitin Menon","HDPK Dharmasena","AJ Pycroft","India","15"
"India","England","male","2016/17","2017/01/22","England in India ODI Series","3","Eden Gardens","Kolkata","India","field","BA Stokes","AK Chaudhary","HDPK Dharmasena","CK Nandan","RSA Palliyaguruge","AJ Pycroft","England","5"
"Pakistan","West Indies","male","2016/17","2016/09/30","Pakistan v West Indies ODI Series","1","Sharjah Cricket Stadium","","true","West Indies","field","Babar Azam","Ahsan Raza","RSA Palliyaguruge","Shozab Raza","S Ravi","AJ Pycroft","Pakistan"
